ID,Pages,Difficulty,Test,Domain,Skill,Source_PDF
7b950fc2,69,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b1e8b87f,70,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
667a0587,71,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
b6de636f,72,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
603755a5,73,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
5aa1fffd,74,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
1f39ab8b,75,easy,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-easy.pdf
87aa7bab,1,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
d748c3fd,2,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
22e4d633,3,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
602b47c7,4,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
11a9f635,5,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
2312021b,6,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
e677fa6c,7,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
66c47028,8,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
d5b9ed0d,9,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
356ad646,10_11,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
b38935ab,12,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
8a584241,13,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
67b59a67,14,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
7edfb2c5,15,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
0c622cfb,16,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
5fb6ed10,17,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
db876fd5,18,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
c538954d,19,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
f8244f7c,20,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
29cde5fa,21,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
dc3ea63e,22,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
55688b3c,23,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
7c21b4b5,24,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
81af81d4,25,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
6409016a,26,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
e1546fd6,27,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
5432d1de,28,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
3882ddf6,29,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d74b9bc6,30,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
a2b0fc3b,31,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2584bcfb,32,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
25290c8d,33,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
7ae8065c,34,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
cbecb873,35,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
99fdf71c,36,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
ff18829b,37,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
e2829dd7,38_39,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
350e2336,40_41,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
f8befe75,42,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
3f05e40f,43,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
659c6c1d,44,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
5d6ab069,45,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
2df730d0,46,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1d08c7ee,47_48,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
adbcbce0,49,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
dd349efc,50,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
1db1a9a6,51,medium,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-medium.pdf
95146ebb,52,medium,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-medium.pdf
485962a6,53,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
d8b78a2b,54,medium,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-medium.pdf
ac5536c1,55,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
1aa3f174,56,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
145d5ca7,57,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
be34a3df,58,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
8f6d6ae6,59,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
870ae7ec,60,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b0a525be,61,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
eef91a50,62,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
01a32c84,63,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
67667d72,64,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
b6560e5a,65,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
403d7bb5,66,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
6b49f5f1,67,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
5cc85f01,68,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
40c3589d,69,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c8540a5b,70,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c101fc44,71,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
a427a52c,72,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
c04e9136,73,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
fe41f258,74,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
3ed5ebb4,75,medium,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-medium.pdf
f1bfbed3,1,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
6b8a7c74,2,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
a15b3219,3,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ed314256,4_5,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
0d7f4966,6,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
068f939b,7,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
ce4448b7,8,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
040583a5,9,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
7a1877be,10,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
4b3d6062,11,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
58e9e497,12,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
1a2b29c9,13,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
04cbeca3,14,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
2fdfe002,15,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
ccb1ab92,16,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
be19faa1,17,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
c83e0b43,18_19,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
dd1757fd,20,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
e185a21f,21,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
09f9edb0,22,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
f9bd4e61,23,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
96802cc0,24,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
35b46381,25,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
4ba0695d,26,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
aaddd60f,27,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
39e440e4,28,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
d0fbf1ae,29,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
08395130,30,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
14189fbb,31,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
156ff681,32,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
e946a32e,33,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
dc87adf4,34,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
53c6c179,35,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
df91532e,36_37,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
44da37eb,38,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
626a1308,39,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
a44bbd6b,40,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
d5da74be,41,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
3f236877,42_43,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
4d3e3c52,44,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
d1b8a9ad,45,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
95dbdf51,46,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
63e7799d,47,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
0dba14e6,48,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
e80ba20d,49,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
4a07be59,50,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
a13c1c66,51,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
f942646f,52,hard,Reading and Writing,Information and Ideas,Inferences,./dedup/dedup-rw-excluded-hard.pdf
16025337,53,hard,Reading and Writing,Information and Ideas,Central Ideas and Details,./dedup/dedup-rw-excluded-hard.pdf
df37c087,54,hard,Reading and Writing,Information and Ideas,Command of Evidence,./dedup/dedup-rw-excluded-hard.pdf
6d4b2e1e,55,hard,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
109d5bbb,56,hard,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
c468db1c,57,hard,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
78e978b5,58,hard,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
78b88c04,59,hard,Reading and Writing,Standard English Conventions,Boundaries,./dedup/dedup-rw-excluded-hard.pdf
